"zoneId";"zoneName";"lastUpdatedTime"
1;"Amboy Ave";""
2;"Avenel";""
3;"Basking Ridge";""
4;"Bridgewater";""
5;"Carlton Ave";""
6;"Centennial Ave";""
7;"Clifton";""
8;"East Brunswick";""
9;"Edison High School";""
10;"Edison Para Yuvak";""
11;"Gurley Road";""
12;"Hadley Road";""
13;"Hilltop 1";""
14;"Hilltop 2";""
15;"Hopkins Ave";""
16;"Inman Ave";""
17;"Iselin North";""
18;"Iselin South";""
19;"JC07 East";""
20;"JC07 West";""
21;"Jersey City";""
22;"JFK";""
23;"JP Stevens";""
24;"Kilmer Road";""
25;"Matawan";""
26;"MCC";""
27;"Menlo Park";""
28;"N Brunswick Rt 1";""
29;"N Brunswick Rt 130";""
30;"Newport";""
31;"North Bergen  North";""
32;"North Bergen South";""
33;"Old Bridge";""
34;"Para Yuvak Sabha";""
35;"Possumtown Road";""
36;"Princeton Garden";""
37;"Quibbletown";""
38;"Sayreville";""
39;"Secaucus";""
40;"Sip Ave";""
41;"Somerset";""
42;"Staten Island";""
43;"Union";""
44;"Yuvak Parasabha";""
